,Date,actual,forecast,ID
121,2015-04-01,173.31,168.24254105805153,121
122,2015-04-02,169.16,192.10132303207087,122
123,2015-04-03,169.99,187.67051008543655,123
124,2015-04-04,175.34,188.56026548369613,124
125,2015-04-05,197.85,192.55907180758956,125
126,2015-04-06,217.82,217.19434781303522,126
127,2015-04-07,219.0,236.96667951287077,127
128,2015-04-08,206.3,238.1852626327391,128
129,2015-04-09,213.77,225.0926034220431,129
130,2015-04-10,159.32,233.84706362377145,130
131,2015-04-11,158.98,177.80692452889812,131
132,2015-04-12,160.2,177.23022581214195,132
133,2015-04-13,240.0,178.86200099351973,133
134,2015-04-14,239.24,260.8748453815563,134
135,2015-04-15,234.74,260.1765680388249,135
136,2015-04-16,215.77,256.03581766650944,136
137,2015-04-17,223.26,237.30485544882896,137
138,2015-04-18,216.39,245.10348766785404,138
139,2015-04-19,67.52,238.8816657174728,139
140,2015-04-20,80.0,75.48576874537075,140
141,2015-04-21,159.11,100.19982236422103,141
142,2015-04-22,205.29,181.71987798779662,142
143,2015-04-23,215.99,227.5559356047126,143
144,2015-04-24,204.03,238.1962940310847,144
145,2015-04-25,205.47,226.12208290506857,145
146,2015-04-26,216.0,227.6141286807218,146
147,2015-04-27,233.05,238.42827217435524,147
148,2015-04-28,207.56,255.7640301276196,148
149,2015-04-29,142.0,229.87666796659897,149
150,2015-04-30,141.83,161.6000732401337,150
151,2015-05-01,130.84,161.5898832131932,151
152,2015-05-02,127.51,149.85110279865407,152
153,2015-05-03,195.04,146.15068373936015,153
154,2015-05-04,191.03,215.67441333151785,154
155,2015-05-05,158.0,211.54462236890302,155
156,2015-05-06,142.81,177.238022585581,156
157,2015-05-07,149.25,161.40778256745006,157
158,2015-05-08,177.0,168.25534858432064,158
159,2015-05-09,199.8,196.56052436849956,159
160,2015-05-10,218.32,219.25942307674336,160
161,2015-05-11,364.0,238.54126870385042,161
162,2015-05-12,74.0,387.4828566325325,162
163,2015-05-13,27.76,85.5620375311362,163
164,2015-05-14,0.0,31.761666623756312,164
165,2015-05-15,0.28,2.1473231117715876,165
166,2015-05-16,0.0,2.377789446481576,166
167,2015-05-17,0.0,2.1914855127435695,167
168,2015-05-18,0.06,1.8243042219751588,168
169,2015-05-19,2.0,2.576777654117068,169
170,2015-05-20,0.0,4.650972773753034,170
171,2015-05-21,0.0,1.9334139903646879,171
172,2015-05-22,0.0,1.986949318408786,172
173,2015-05-23,0.0,1.9431667752148112,173
174,2015-05-24,0.0,1.0385587298576562,174
175,2015-05-25,0.0,0.713938393006115,175
176,2015-05-26,0.0,0.8650900236179511,176
177,2015-05-27,0.0,0.9939641920078444,177
178,2015-05-28,0.0,0.9750664875228297,178
179,2015-05-29,0.0,1.2156945357004258,179
180,2015-05-30,0.0,1.3855424343260911,180
181,2015-06-03,0.1,1.7607547171681492,181
182,2015-06-05,0.0,1.5778099827423948,182
183,2015-06-06,0.53,0.8529349079452091,183
184,2015-06-07,0.3,7.980951075982771,184
185,2015-06-08,0.09,7.702886916894672,185
186,2015-06-09,0.07,6.364004491060021,186
187,2015-06-10,0.08,5.991822747961311,187
188,2015-06-11,0.15,5.46732414324097,188
189,2015-06-12,0.03,4.891175442245084,189
190,2015-06-13,0.0,4.823263645155904,190
191,2015-06-14,0.02,4.729337655235057,191
192,2015-06-15,0.0,4.69876118772064,192
193,2015-06-16,0.06,4.643021103660091,193
194,2015-06-17,0.03,5.101026096078529,194
195,2015-06-18,0.0,4.591705397916906,195
196,2015-06-19,0.04,3.7855331879198015,196
197,2015-06-20,0.03,3.9466638337882465,197
198,2015-06-21,0.0,4.236284493053782,198
199,2015-06-22,0.06,1.9395365812971441,199
200,2015-06-23,0.13,4.496256190657764,200
201,2015-06-24,0.0,4.826996998196517,201
202,2015-06-25,0.16,4.453690237138268,202
203,2015-06-26,0.13,4.719443871893874,203
204,2015-06-27,0.0,4.26266450118781,204
205,2015-06-28,0.31,3.7774813309140587,205
206,2015-06-29,0.3,4.421330525710902,206
207,2015-06-30,0.26,4.928489738903153,207
208,2015-07-01,0.09,4.85866589312667,208
209,2015-07-02,0.0,4.6633840824984025,209
210,2015-07-03,0.12,4.606122446825773,210
211,2015-07-04,0.0,3.448930770049028,211
212,2015-07-05,0.0,3.983172075502175,212
213,2015-07-06,0.02,4.036549496465371,213
214,2015-07-07,0.01,3.700987699407083,214
215,2015-07-08,0.06,3.403014251941981,215
216,2015-07-09,0.0,3.479766654374928,216
217,2015-07-10,0.0,3.3509555899947783,217
218,2015-07-11,0.0,3.325799043442662,218
219,2015-07-12,0.0,4.692921075010297,219
220,2015-07-13,0.0,1.9619322450732906,220
221,2015-08-05,0.0,-0.37210056596154817,221
222,2015-08-06,0.01,1.9482050747075754,222
223,2015-08-07,0.0,1.1579745045027687,223
224,2015-08-08,0.0,1.325154831201374,224
225,2015-08-09,0.0,1.2398578527184765,225
226,2015-08-10,0.0,1.2439107441506718,226
227,2015-08-11,0.0,1.3094991593293823,227
228,2015-08-12,0.0,1.3929690329720699,228
229,2015-10-12,1.78,1.4344945317638125,229
230,2015-10-13,0.15,8.156004828293302,230
231,2015-10-14,0.0,7.255201060676011,231
232,2015-10-15,0.0,7.32742173751738,232
233,2015-10-16,0.0,7.64001949127263,233
234,2015-10-17,0.01,7.926385494798133,234
235,2015-10-18,0.0,8.272541312172162,235
236,2015-10-19,0.0,8.504438361796069,236
237,2015-10-20,0.0,8.691622170652282,237
238,2015-10-21,0.04,8.861513991019377,238
239,2015-10-22,1.31,8.994771586636919,239
240,2015-10-23,7.54,10.58212173876308,240
241,2015-10-24,17.07,16.95893181612077,241
242,2015-10-25,23.56,26.642272041564386,242
243,2015-10-26,30.45,33.155853316138135,243
244,2015-10-27,40.15,40.15810545082188,244
245,2015-10-28,65.1,49.9641833716868,245
246,2015-10-29,78.99,74.95465316524907,246
247,2015-10-30,89.01,88.96885268384827,247
248,2015-10-31,97.17,99.04316155173944,248
249,2015-11-01,105.34,107.23946324527641,249
250,2015-11-02,105.34,115.44769886564819,250
251,2015-11-03,115.46,115.38928304872765,251
252,2015-11-04,119.78,125.62405837596475,252
253,2015-11-05,124.25,130.03401435543933,253
254,2015-11-06,127.81,134.55446099976473,254
255,2015-11-07,147.28,138.19788471583828,255
256,2015-11-08,160.96,158.83794429460988,256
257,2015-11-09,163.45,173.4294629258427,257
258,2015-11-10,164.7,175.60462409545488,258
259,2015-11-11,171.73,176.66189053341787,259
260,2015-11-12,177.0,183.6955669132262,260
261,2015-11-13,181.99,188.94075212348687,261
262,2015-11-14,192.74,193.45485991014127,262
263,2015-11-15,203.02,203.87124624663232,263
264,2015-11-16,214.53,214.22499177909188,264
265,2015-11-17,219.54,225.78285428882586,265
266,2015-11-18,217.07,230.79722649900336,266
267,2015-11-19,221.46,228.0710705017622,267
268,2015-11-20,230.79,232.78422062759884,268
269,2015-11-21,235.93,242.46583030606033,269
270,2015-11-22,251.6,247.17049162611173,270
271,2015-11-23,255.82,262.65801021033997,271
272,2015-11-24,255.23,266.9040174438088,272
273,2015-11-25,275.02,266.27041150578776,273
274,2015-11-26,326.08,286.6289664778438,274
275,2015-11-27,348.89,339.0555887291735,275
276,2015-11-28,377.92,362.65425080107957,276
277,2015-11-29,395.17,392.20709717002404,277
278,2015-11-30,410.32,408.9722883602591,278
