,Forecast
2019-01-01,1499.674196571112
2019-02-01,1462.970099052191
2019-03-01,1440.3187372779848
2019-04-01,1420.048002485037
2019-05-01,1400.9064566755296
2019-06-01,1382.319484946728
2019-07-01,1364.2378759467604
2019-08-01,1346.6075194561483
2019-09-01,1329.3022696340086
2019-10-01,1312.3715605080129
2019-11-01,1295.7480326485636
2019-12-01,1279.4055216491224
