Date,Actual,Predicted
2018-01-01,162.01,162.4841807067961
2018-01-02,161.74,162.13206379701816
2018-01-03,161.22,161.81285020238678
2018-01-04,162.16,161.2876521563429
2018-01-05,161.24,162.24248886418252
2018-01-06,160.8,161.30194423158017
2018-01-07,161.38,160.84573790272984
2018-01-08,160.86,161.47172968388452
2018-01-09,160.86,160.94594832056364
2018-01-10,160.31,161.00283221147407
2018-01-11,159.87,160.45670174233837
2018-01-12,159.87,160.01913087414772
2018-01-13,160.68,160.02788242477573
2018-01-14,160.68,160.8512351184132
2018-01-15,158.94,160.84240963302938
2018-01-16,157.93,159.06738715055315
2018-01-17,157.93,158.065790525471
2018-01-18,162.24,158.0782867158265
2018-01-19,162.24,162.09639089512112
2018-01-20,160.1,162.28249775486273
2018-01-21,160.06,160.26864826654236
2018-01-22,158.7,160.22808480060633
2018-01-23,160.17,158.9072023985635
2018-01-24,160.36,160.4027769204412
2018-01-25,160.5,160.59845723974306
2018-01-26,160.5,160.74532043243028
2018-01-27,160.5,160.7352490522021
2018-01-28,157.68,160.71069649263075
2018-01-29,157.89,157.89015910254318
2018-01-30,155.86,158.07930800651377
2018-01-31,155.86,156.63503243565125
2018-02-01,167.65,156.02430144153328
2018-02-02,163.83,168.1193724661364
2018-02-03,160.28,164.24144630148987
2018-02-04,159.63,160.57658604209786
2018-02-05,162.1,159.9109331469506
2018-02-06,161.63,162.37591588626725
2018-02-07,161.63,161.99784734064164
2018-02-08,162.14,162.01124428916063
2018-02-09,161.52,162.47233166016392
2018-02-10,161.82,161.91874064526021
2018-02-11,162.67,162.18577412465496
2018-02-12,162.56,163.0491759293287
2018-02-13,163.26,163.00061231931477
2018-02-14,162.72,163.7115364787572
2018-02-15,161.31,163.14188836110725
2018-02-16,162.64,161.66886693879025
2018-02-17,160.57,163.00465561172555
2018-02-18,160.15,160.99224125728998
2018-02-19,160.08,160.57908693170785
2018-02-20,159.05,160.4457127870178
2018-02-21,155.2,159.40165391824712
2018-02-22,155.9,155.50538701678872
2018-02-23,156.67,156.19636880194267
2018-02-24,156.77,156.9749811097962
2018-02-25,156.54,157.06857090478417
2018-02-26,157.46,156.85450115659813
2018-02-27,157.24,157.8251904665675
2018-02-28,156.01,157.60662870043998
2018-03-01,156.63,156.40352296450087
2018-03-02,157.56,156.99745705889865
2018-03-03,157.09,157.94930391148506
2018-03-04,156.22,157.4730282789372
2018-03-05,155.48,156.57578280137565
2018-03-06,155.34,155.8288150746364
2018-03-07,153.39,155.69625330540637
2018-03-08,154.09,153.65328344644217
2018-03-09,153.5,154.35840988978862
2018-03-10,153.99,153.78653541361058
2018-03-11,154.9,154.23495205190605
2018-03-12,155.31,155.08760631809565
2018-03-13,156.87,155.55309134360414
2018-03-14,159.04,157.1190965337949
2018-03-15,161.08,159.27592789457952
2018-03-16,162.43,161.34912777932712
2018-03-17,160.48,162.7230634678927
2018-03-18,160.48,160.78454539472636
2018-03-19,157.68,160.75459550972118
2018-03-20,156.74,157.9694415973688
2018-03-21,155.29,157.01558050609128
2018-03-22,153.8,155.5631552446578
2018-03-23,155.29,154.09816468535516
2018-03-24,152.74,155.62430711206116
2018-03-25,152.76,153.0472796624834
2018-03-26,153.26,153.07399399332033
2018-03-27,153.8,153.57196335362747
2018-03-28,153.18,154.11184233055667
2018-03-29,152.53,153.58927746245587
2018-03-30,153.29,152.93557160700172
2018-03-31,152.92,153.68736948293622
2018-04-01,152.39,153.31097837715197
2018-04-02,152.55,152.80235599923222
2018-04-03,152.47,152.9683321324439
2018-04-04,151.99,152.87200712634814
2018-04-05,151.93,152.38669197178726
2018-04-06,152.26,152.23911764860665
2018-04-07,152.12,152.60890452008692
2018-04-08,151.75,152.4714522879501
2018-04-09,150.87,152.0941924327274
2018-04-10,150.6,151.250549392351
2018-04-11,151.46,150.98538697997552
2018-04-12,150.26,151.84505522674243
2018-04-13,149.88,150.61562154829127
2018-04-14,150.04,150.27628299459468
2018-04-15,148.71,150.44491789171175
2018-04-16,148.91,149.10964297467189
2018-04-17,148.96,149.31584492056277
2018-04-18,148.87,149.38633407481396
2018-04-19,149.79,149.31310977516785
2018-04-20,149.36,150.14553560648605
2018-04-21,148.83,149.70907953308807
2018-04-22,148.88,149.1379892610522
2018-04-23,148.53,149.18669952054313
2018-04-24,148.24,148.84530440585178
2018-04-25,147.78,148.60143480817962
2018-04-26,147.46,148.13655020825868
2018-04-27,146.61,147.83406985404002
2018-04-28,145.67,147.10815471022048
2018-04-29,145.76,146.15354971215675
2018-04-30,145.01,146.2061573497049
2018-05-01,144.87,145.4873687529872
2018-05-02,145.83,145.34647752565468
2018-05-03,146.39,146.26137650384277
2018-05-04,147.12,146.8258086338699
2018-05-05,148.75,147.58440506519008
2018-05-06,148.79,149.21516562347244
2018-05-07,150.78,149.22648268644878
2018-05-08,151.47,151.19459340142447
2018-05-09,152.89,151.86652015266083
2018-05-10,153.99,153.24819501962057
2018-05-11,154.65,154.33129378036043
2018-05-12,153.43,155.09329978313176
2018-05-13,153.76,153.87114044556006
2018-05-14,154.13,154.17161056810755
2018-05-15,154.99,154.5561670927538
2018-05-16,156.06,155.44515800612294
2018-05-17,156.26,156.50190152907865
2018-05-18,157.14,156.7458097459903
2018-05-19,157.14,157.63049558125692
2018-05-20,156.52,157.64010069892672
2018-05-21,156.28,157.0123469953723
2018-05-22,156.33,156.7743868565589
2018-05-23,156.91,156.82374592354955
2018-05-24,156.3,157.44310642326033
2018-05-25,156.91,156.86016033320024
2018-05-26,156.52,157.48629467208363
2018-05-27,156.43,157.08658013831678
2018-05-28,156.65,156.98770189422433
2018-05-29,156.99,157.22790217797333
2018-05-30,157.1,157.55597334843773
2018-05-31,157.24,157.67859031757953
2018-06-01,155.84,157.8068856977193
2018-06-02,154.08,156.42236077634115
2018-06-03,154.79,154.64481649908268
2018-06-04,155.61,155.36187749567432
2018-06-05,155.97,156.20002389263033
2018-06-06,156.52,156.55573784788953
2018-06-07,155.8,157.114981392268
2018-06-08,155.46,156.389307339563
2018-06-09,155.52,156.04212499159198
2018-06-10,156.41,156.1047142705112
2018-06-11,155.81,156.9954198882084
2018-06-12,154.56,156.4304899407657
2018-06-13,153.82,155.17285199491056
