,Forecast
2019-01-01,524.899635527134
2019-02-01,722.4071695053578
2019-03-01,803.0067908525468
2019-04-01,850.5970628976823
2019-05-01,887.3947955906392
2019-06-01,920.7289175474644
2019-07-01,952.8676044702531
2019-08-01,984.4052894079687
2019-09-01,1015.4793633294107
2019-10-01,1046.293463253975
2019-11-01,1076.7715453958513
2019-12-01,1107.4134055888653
